Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background
1993,,,,,,,,,Clipper Chip controversy,"Because of concerns that widespread use of strong cryptography would hamper government use of wiretaps, NSA proposed the concept of key escrow in 1993 and introduced the Clipper chip that would offer stronger protection than DES but would allow access to encrypted data by authorized law enforcement officials. The proposal was strongly opposed and key escrow requirements ultimately went nowhere. However, NSA's Fortezza hardware-based encryption cards, created for the Clipper project, are still used within government, and NSA ultimately declassified and published the design of the Skipjack cipher used on the cards",,,,,,government,#333333
2011,,,,2014,,,,,Cicada 3301,"Cicada 3301 is a nickname given to an alleged enigmatic organization that posted three sets of puzzles online between 2011 and 2014. The first Internet puzzle started on January 4, 2012, on 4chan and ran for nearly a month. A second round began one year later on January 4, 2013, and then a third round following the confirmation of a fresh clue posted on Twitter on January 4, 2014. The third puzzle has yet to be solved. The stated intent was to recruit ""intelligent individuals"" by presenting a series of puzzles which were to be solved. No new puzzles were published on January 4, 2015. However, a new clue was posted on Twitter on January 5, 2016. Cicada 3301 posted their last verified PGP-signed message in April 2017, denying the validity of any unsigned puzzle",,,,,,culture,
1954,,,,,,,,,FORTRAN created,,,,,,,tech,#333333
1996,,,,2003,,,,,w00w00 founded,"w00w00 (pronounced whoo-whoo) was a computer security think tank founded in 1996 and still active until the early 2000s.[unreliable source?] Although this group was not well known outside Information security circles, its participants have spawned more than a dozen IT companies. The two most famous examples are WhatsApp, the messaging service, and Napster, the pioneering file-sharing company.",,,,,,crew,
2015,8,25,,,,,,,Junaid Hussain killed,"Junaid Hussain (A.K.A. Tr1ck) is killed by a lethal drone strike in Raqqa, Syria. Hussain had left the United Kingdom to join ISIL in 2013",,,,,,government,#333333
2008,,,,,,,,,TeaMp0isoN founded,,,,,,,crew,
2015,1,,,,,,,,"Cyber Caliphate Army publishes ""kill list"" of US citizens","The group first emerged in hacking operations against U.S. websites in January 2015 as the Cyber Caliphate Army (CCA).[1] In March 2015, the Islamic State published a ""kill list"" on a website that included names, ranks, and addresses of 100 U.S. military members",,,,,,milestone,#333333
2018,2,,,,,,,,US indicts GRU hackers for DNC breach,,,,,,,government,
2016,6,14,,,,,,,DNC breached by GRU ,,,,,,,hack,#333333
2016,7,22,,,,,,,Guccifer 2.0 leaks DNC docs,Guccifer 2.0 leaks DNC documents taken during a breach the month before to Wikileaks,,,,,,politics,
2016,10,4,,,,,,,Guccifer 2.0 releases Clinton Foundation docs,,,,,,,politics,#333333
2016,9,13,,,,,,,Guccifer 2.0 releases additional docs,,,,,,,politics,
2015,12,23,,,,,,,First attack on Ukrainian electric grid,"The Ukraine power grid hack was a cyberattack on Ukraine's power grid on December 23, 2015, resulting in power outages for roughly 230,000 consumers in Ukraine for 1-6 hours. The attack took place during an ongoing Russian military intervention in Ukraine (2014–present) and is attributed to a Russian advanced persistent threat group known as ""Sandworm"". It is the first publicly acknowledged successful cyberattack on a power grid",,,,,,government,#333333
1997,9,,,,,,,,Nmap released,"Nmap (Network Mapper) is a network scanner created by Gordon Lyon (also known by his pseudonym Fyodor Vaskovich). Nmap is used to discover hosts and services on a computer network by sending packets and analyzing the responses.

Nmap provides a number of features for probing computer networks, including host discovery and service and operating system detection. These features are extensible by scripts that provide more advanced service detection, vulnerability detection, and other features. Nmap can adapt to network conditions including latency and congestion during a scan.

Nmap started as a Linux utility and was ported to other systems including Windows, macOS, and BSD It is most popular on Linux, followed by Windows",,,,,,tool,
2002,9,20,,,,,,,TOR project launched,,,,,,,tool,#333333
1999,,,,,,,,,"""To Build A Honeypot"" published","The concept of the honey net first began in 1999 when Lance Spitzner, founder of the Honeynet Project, published the paper ""To Build a Honeypot""",,,,,,publication,https://en.wikipedia.org/wiki/Honeypot_(computing)
1973,,,,,,,,,Bell Labs announces creation of Unix,,,,,,,publication,
1969,,,,,,,,,Development begins on Unix,,,,,,,tool,
1960,1,,,,,,,,Computer network proposed,"The earliest computers were connected directly to terminals used by an individual user. Christopher Strachey, who became Oxford University's first Professor of Computation, filed a patent application for time-sharing in February 1959. In June that year, he gave a paper ""Time Sharing in Large Fast Computers"" at the UNESCO Information Processing Conference in Paris where he passed the concept on to J. C. R. Licklider. Licklider, Vice President at Bolt Beranek and Newman, Inc., went on to propose a computer network in his January 1960 paper Man-Computer Symbiosis",,,,,,publication,
1962,8,,,,,,,,Computer networks detailed,"In August 1962, Licklider and Welden Clark published the paper ""On-Line Man-Computer Communication"" which was one of the first descriptions of a networked future",,,,,,publication,
1962,10,,,,,,,,DARPA begins work on early computer network,"In October 1962, Licklider was hired by Jack Ruina as director of the newly established Information Processing Techniques Office (IPTO) within DARPA, with a mandate to interconnect the United States Department of Defense's main computers at Cheyenne Mountain, the Pentagon, and SAC HQ. There he formed an informal group within DARPA to further computer research. He began by writing memos in 1963 describing a distributed network to the IPTO staff, whom he called ""Members and Affiliates of the Intergalactic Computer Network"".",,,,,,milestone,
1966,,,,,,,,,ARPANET project initiated,,,,,,,tech,
1876,,,,1988,,,,,Age of POTS,Plain Old Telephone System is available for commercial use,,,,,era,,
1926,,,,,,,,,Research on Telex begins,,,,,,,milestone,
1933,,,,,,,,,Telex commercial service begins,,,,,,,tech,
1981,,,,,,,,,SMTP announced,SMTP is announced giving way to the age of email,,,,,,tech,
1968,,,,,,,,,First packet switched network,"By 1968,[42] Davies had begun building the Mark I packet-switched network to meet the needs of the multidisciplinary laboratory and prove the technology under operational conditions",,,,,,tech,
1978,2,,,1995,,,,,Age of BBS,,,,,,era,tech,
2018,3,,,,,,,,City of Atlanta ransomware,The city of Atlanta suffers a ransomware attack.,,,,,,ransomware,
2019,5,,,,,,,,city of Baltimore ransomware,The city of Baltimore suffers a ransomware attack,,,,,,ransomware,
2012,5,,,,,,,,NullCrew formed,,,,,,,crew,
2001,5,1,,,,,,,"US/China DDoS ""war""",http://edition.cnn.com/2001/WORLD/asiapcf/east/04/27/china.hackers/index.html,,,,,,government,
2009,5,9,,,,,,,"""Bot King"" charged",Jeanson James Ancheta is the first person charged on this day for controlling a large number of bots,,,,,,law,
2014,8,14,,,,,,,Celebrity nudes leaked from icloud,"In this event, often referred to as ""The Fappening"" (after the M. Night Shyamalan movie ""The Happening""), a significant number of nude photos of celebrities (mostly women) were stolen from Apple's icloud accounts. Five men were later convicted of various crimes in relation to this event.",,,,,,culture,
2004,12,10,,,,,,,Encyclopedia Dramatica launched,"Recognized as the foremost online location to procure the latest and greatest in Internet flame war content, Encyclopedia Dramatica was launched during a critical time in the formation of post 2000s online/hacker culture.",,,,,,culture,
2017,12,,,,,,,,Ackflags passes away,"Jaime Cochrane (A.K.A. 'Ackflags', 'asshurtmacfags') is remembered by her friends. A famous troll of the early 2010s, Jaime was beloved by her family and community for her contributions to modern culture",,,,,,culture,
2012,3,7,,,,,,,Sabu arrested,"Sabu, a co-founder of post-2000s hacking group 'lulz-sec' is arrested by the FBI after being identified by the media. Sabu was later confirmed to be an FBI informant, and his arrest began an unprecedented saga of legal trouble for many of the early 2010's hacking groups.",,,,,,law,
2013,8,,,,,,,,POC || GTFO issue 1,The first issue of POC || GTFO is published.,,,,,,publication,
1976,4,11,,,,,,,Apple 1 released,The first Apple computer released to the public.,,,,,,tech,
1982,8,,,,,,,,Commodore 64 released,,,,,,,tech,
1990,6,1,,,,,,,Dark Dante wins a Porsche,Kevin Poulsen (known as Dark Dante) takes over all of the phone lines for LA radio station KII-S FM to win himself a Porsche 944 S2,,,,,,hacks,
1991,4,,,,,,,,Dark Dante arrested,,,,,,,law,
2001,1,15,,,,,,,Creative Commons launched,The Creative Commons licensing framework is launched,,,,,,law,
2012,2,1,,,,,,,Heartbleed vulnerability released,The heartbleed vulnerability is released,,,,,,tool,
1999,7,10,,,,,,,BO2k released,"Back Oriface 2k is released, following the release of the original Back Oriface took the previous year.",,,,,,tool,
